2026-02-23 15:57:55 startup archives unpack
2026-02-23 15:57:55 install systemd-sysv:amd64 <none> 257.9-1~deb13u1
2026-02-23 15:57:55 status half-installed systemd-sysv:amd64 257.9-1~deb13u1
2026-02-23 15:57:55 status unpacked systemd-sysv:amd64 257.9-1~deb13u1
2026-02-23 15:57:55 install fonts-ipafont-gothic:all <none> 00303-23
2026-02-23 15:57:55 status half-installed fonts-ipafont-gothic:all 00303-23
2026-02-23 15:57:56 status unpacked fonts-ipafont-gothic:all 00303-23
2026-02-23 15:57:56 install libproc2-0:amd64 <none> 2:4.0.4-9
2026-02-23 15:57:56 status triggers-pending libc-bin:amd64 2.41-12+deb13u1
2026-02-23 15:57:56 status half-installed libproc2-0:amd64 2:4.0.4-9
2026-02-23 15:57:56 status unpacked libproc2-0:amd64 2:4.0.4-9
2026-02-23 15:57:56 install procps:amd64 <none> 2:4.0.4-9
2026-02-23 15:57:56 status half-installed procps:amd64 2:4.0.4-9
2026-02-23 15:57:56 status unpacked procps:amd64 2:4.0.4-9
2026-02-23 15:57:57 install libpam-systemd:amd64 <none> 257.9-1~deb13u1
2026-02-23 15:57:57 status half-installed libpam-systemd:amd64 257.9-1~deb13u1
2026-02-23 15:57:57 status unpacked libpam-systemd:amd64 257.9-1~deb13u1
2026-02-23 15:57:57 install libgdk-pixbuf2.0-common:all <none> 2.42.12+dfsg-4
2026-02-23 15:57:57 status half-installed libgdk-pixbuf2.0-common:all 2.42.12+dfsg-4
2026-02-23 15:57:57 status unpacked libgdk-pixbuf2.0-common:all 2.42.12+dfsg-4
2026-02-23 15:57:57 install libglib2.0-0t64:amd64 <none> 2.84.4-3~deb13u2
2026-02-23 15:57:57 status half-installed libglib2.0-0t64:amd64 2.84.4-3~deb13u2
2026-02-23 15:57:57 status unpacked libglib2.0-0t64:amd64 2.84.4-3~deb13u2
2026-02-23 15:57:58 install libxml2:amd64 <none> 2.12.7+dfsg+really2.9.14-2.1+deb13u2
2026-02-23 15:57:58 status half-installed libxml2:amd64 2.12.7+dfsg+really2.9.14-2.1+deb13u2
2026-02-23 15:57:58 status unpacked libxml2:amd64 2.12.7+dfsg+really2.9.14-2.1+deb13u2
2026-02-23 15:57:58 install shared-mime-info:amd64 <none> 2.4-5+b2
2026-02-23 15:57:58 status half-installed shared-mime-info:amd64 2.4-5+b2
2026-02-23 15:57:58 status unpacked shared-mime-info:amd64 2.4-5+b2
2026-02-23 15:57:58 install libjpeg62-turbo:amd64 <none> 1:2.1.5-4
2026-02-23 15:57:58 status half-installed libjpeg62-turbo:amd64 1:2.1.5-4
2026-02-23 15:57:58 status unpacked libjpeg62-turbo:amd64 1:2.1.5-4
2026-02-23 15:57:58 install libpng16-16t64:amd64 <none> 1.6.48-1+deb13u3
2026-02-23 15:57:58 status half-installed libpng16-16t64:amd64 1.6.48-1+deb13u3
2026-02-23 15:57:58 status unpacked libpng16-16t64:amd64 1.6.48-1+deb13u3
2026-02-23 15:57:58 install libdeflate0:amd64 <none> 1.23-2
2026-02-23 15:57:58 status half-installed libdeflate0:amd64 1.23-2
2026-02-23 15:57:58 status unpacked libdeflate0:amd64 1.23-2
2026-02-23 15:57:58 install libjbig0:amd64 <none> 2.1-6.1+b2
2026-02-23 15:57:58 status half-installed libjbig0:amd64 2.1-6.1+b2
2026-02-23 15:57:58 status unpacked libjbig0:amd64 2.1-6.1+b2
2026-02-23 15:57:58 install liblerc4:amd64 <none> 4.0.0+ds-5
2026-02-23 15:57:58 status half-installed liblerc4:amd64 4.0.0+ds-5
2026-02-23 15:57:58 status unpacked liblerc4:amd64 4.0.0+ds-5
2026-02-23 15:57:58 install libsharpyuv0:amd64 <none> 1.5.0-0.1
2026-02-23 15:57:58 status half-installed libsharpyuv0:amd64 1.5.0-0.1
2026-02-23 15:57:58 status unpacked libsharpyuv0:amd64 1.5.0-0.1
2026-02-23 15:57:58 install libwebp7:amd64 <none> 1.5.0-0.1
2026-02-23 15:57:58 status half-installed libwebp7:amd64 1.5.0-0.1
2026-02-23 15:57:58 status unpacked libwebp7:amd64 1.5.0-0.1
2026-02-23 15:57:58 install libtiff6:amd64 <none> 4.7.0-3+deb13u1
2026-02-23 15:57:58 status half-installed libtiff6:amd64 4.7.0-3+deb13u1
2026-02-23 15:57:58 status unpacked libtiff6:amd64 4.7.0-3+deb13u1
2026-02-23 15:57:59 install libgdk-pixbuf-2.0-0:amd64 <none> 2.42.12+dfsg-4
2026-02-23 15:57:59 status half-installed libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-4
2026-02-23 15:57:59 status unpacked libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-4
2026-02-23 15:57:59 install gtk-update-icon-cache:amd64 <none> 4.18.6+ds-2
2026-02-23 15:57:59 status half-installed gtk-update-icon-cache:amd64 4.18.6+ds-2
2026-02-23 15:57:59 status unpacked gtk-update-icon-cache:amd64 4.18.6+ds-2
2026-02-23 15:57:59 install hicolor-icon-theme:all <none> 0.18-2
2026-02-23 15:57:59 status half-installed hicolor-icon-theme:all 0.18-2
2026-02-23 15:57:59 status unpacked hicolor-icon-theme:all 0.18-2
2026-02-23 15:57:59 install adwaita-icon-theme:all <none> 48.1-1
2026-02-23 15:57:59 status half-installed adwaita-icon-theme:all 48.1-1
2026-02-23 15:57:59 status unpacked adwaita-icon-theme:all 48.1-1
2026-02-23 15:57:59 install at-spi2-common:all <none> 2.56.2-1+deb13u1
2026-02-23 15:57:59 status half-installed at-spi2-common:all 2.56.2-1+deb13u1
2026-02-23 15:57:59 status unpacked at-spi2-common:all 2.56.2-1+deb13u1
2026-02-23 15:57:59 install dbus-user-session:amd64 <none> 1.16.2-2
2026-02-23 15:57:59 status half-installed dbus-user-session:amd64 1.16.2-2
2026-02-23 15:57:59 status unpacked dbus-user-session:amd64 1.16.2-2
2026-02-23 15:57:59 install libdconf1:amd64 <none> 0.40.0-5
